,Unnamed: 0,votes,eevp,timestamp,state,expected_votes,trump2016,votes2012,votes2016,vote_share_rep,vote_share_dem,vote_share_trd,effective_vote_split,dem_votes,rep_votes,votes_change,split_change,rep_votes_change,dem_votes_change,dem_share,rep_share
33,33,115261,5,2020-11-04T02:16:48Z,alabama,2300000,1318255,2074338,2123372,0.539,0.449,0,54.55465587044535,51752.189,62125.679000000004,5007,1.720647773279353,4573.091,373.8249999999971,0.07466047533453107,0.9133395246654684
34,34,117598,5,2020-11-04T02:17:24Z,alabama,2300000,1318255,2074338,2123372,0.544,0.444,0,55.060728744939276,52213.512,63973.312000000005,2337,0.506072874493924,1847.6330000000016,461.32300000000396,0.19739965768078901,0.7906003423192134
35,35,150325,6,2020-11-04T02:18:14Z,alabama,2300000,1318255,2074338,2123372,0.503,0.485,0,50.91093117408907,72907.625,75613.475,32727,-4.149797570850204,11640.163,20694.112999999998,0.6323253888226845,0.35567461117731536
36,36,167645,7,2020-11-04T02:19:55Z,alabama,2300000,1318255,2074338,2123372,0.489,0.499,0,49.493927125506076,83654.855,81978.405,17320,-1.4170040485829958,6364.929999999993,10747.229999999996,0.620509815242494,0.3674901847575054
37,37,177093,7,2020-11-04T02:22:05Z,alabama,2300000,1318255,2074338,2123372,0.502,0.48700000000000004,0,50.758341759352874,86244.29100000001,88900.686,9448,1.2644146338467976,6922.281000000003,2589.436000000016,0.2740723962743455,0.7326715707027945
38,38,193780,8,2020-11-04T02:22:13Z,alabama,2300000,1318255,2074338,2123372,0.51,0.47700000000000004,0,51.67173252279635,92433.06000000001,98827.8,16687,0.9133907634434735,9927.114000000001,6188.769,0.37087367411757655,0.5949010607059388
39,39,200496,8,2020-11-04T02:22:55Z,alabama,2300000,1318255,2074338,2123372,0.523,0.465,0,52.93522267206478,93230.64,104859.40800000001,6716,1.263490149268435,6031.608000000007,797.5799999999872,0.11875818939844955,0.8980952948183454
40,40,210956,9,2020-11-04T02:23:15Z,alabama,2300000,1318255,2074338,2123372,0.531,0.457,0,53.74493927125506,96406.892,112017.636,10460,0.8097165991902813,7158.227999999988,3176.2520000000077,0.30365697896749594,0.6843430210325037
41,41,218259,9,2020-11-04T02:23:54Z,alabama,2300000,1318255,2074338,2123372,0.54,0.447,0,54.711246200607896,97561.773,117859.86,7303,0.9663069293528324,5842.224000000002,1154.880999999994,0.15813788853895577,0.7999759003149394
42,42,218829,9,2020-11-04T02:25:01Z,alabama,2300000,1318255,2074338,2123372,0.541,0.447,0,54.75708502024292,97816.563,118386.489,570,0.04583881963502279,526.6290000000008,254.7899999999936,0.44699999999998874,0.923910526315791
43,43,233304,10,2020-11-04T02:26:10Z,alabama,2300000,1318255,2074338,2123372,0.547,0.44,0,55.42046605876393,102653.76,127617.28800000002,14475,0.6633810385210097,9230.799000000014,4837.197,0.33417595854922283,0.6377063212435242
44,44,242977,10,2020-11-04T02:26:59Z,alabama,2300000,1318255,2074338,2123372,0.555,0.43200000000000005,0,56.23100303951367,104966.06400000001,134852.23500000002,9673,0.8105369807497453,7234.947,2312.3040000000183,0.23904724490851012,0.7479527550914918
45,45,252138,11,2020-11-04T02:27:21Z,alabama,2300000,1318255,2074338,2123372,0.56,0.428,0,56.680161943319845,107915.064,141197.28000000003,9161,0.44915890380617185,6345.045000000013,2948.9999999999854,0.32190808863661013,0.6926148892042367
46,46,255016,11,2020-11-04T02:27:48Z,alabama,2300000,1318255,2074338,2123372,0.5589999999999999,0.429,0,56.57894736842105,109401.864,142553.944,2878,-0.1012145748987976,1356.6639999999607,1486.800000000003,0.5166087560806125,0.4713912439193748
